taluka
Bagalkot
Jamkhandi
Mudhola
Badami
Bilagi
Hunagunda
Ilkal
Rabkavi
Guledagudda
Ballari
Kurugodu
Kampli
Sanduru
Siruguppa
Belagavi
Athani
Bailhongal
Chikkodi
Gokak
Khanapura
Mudalagi
Nippani
Rayabaga
Savadatti
Ramadurga
Kagawada
Hukkeri
Kitturu
Hebbala
Kengeri
Krishnarajapura
Anekal
Yelahanka
Nelamangala
Doddaballapur
Devanahalli
Hosakote
Aurad
Basavakalyana
Bhalki
Bidar
Chittaguppa
Basavakalyān
Humanabad
Kamalanagara
Chamarajanagara
Gundlupēt
Kollegal
Yelanduru
Bandalli
Chikkaballapura
Bagepalli
Chintamani
Gauribidanuru
Gudibanda
Sidlaghatta
Cheluru
Chikkamagaluru
Kaduru
Koppa
Mudigere
Narasimharajapura
Sringeri
Tarikere
Ajjampura
Kalasa
Chitradurga
Challakere
Hiriyur
Holalkere
Hosadurga
Molakalmuru
Mangaluru
Ullal
Mulki
Mūdbidri
Bantwal
Beltangadi
Putturu
Sulya
Kadaba
Davanagere
Harihara
Channagiri
Honnali
Nyamti
Jagaluru
Kalghatgi
Dharwad
Hubballi
Kundgol
Navalgund
Alnavar
Annigeri
Gadag
Naragunda
Mundaragi
Gajendragad
Lakshmeshwar
Shirahatti
Hassan
Arasikere
Channarayapattana
Hole Narsipur
Sakleshpur
Aluru
Arkalgūd
Beluru
Ranibennur
Byadgi
Hangala
Haveri
Savanūr
Hirekerūr
Shiggaon
Rattihalli
Kalaburagi
Afzalpur
Alanda
Chincholi
Chitapura
Jevargi
Sedam
Kamalapura
Kalagi
Yedrami
Madikeri
Somawarapete
Virajpet
Ponnampet
Kushālnagar
Kolar
Bangarapete
Maluru
Mulabagilu
Srīnivāspur
Kolar Gold Fields
Koppala
Gangāwati
Kushtagi
Yelbarga
Kanakagiri
Sindhnūr
Kuknur
Mandya
Malavalli
Srirangapatna
Krishnarajapete
Nagamangala
Pandavapura
Mysuru
Hunasuru
Krishnarajanagara
Nanjangūd
Heggadadevanakote
Piriyapattana
Tirumakudalu Narasipura
Saraguru
Saligrama
Rāichūr
Sindhanur
Manvi
Devadurga
Lingasugur
Mudgal
Maski
Sirawara
Madagiri
Ramanagara
Magadi
Kanakapura
Channapattana
Harohalli
Shivamogga
Sagara
Bhadravathi
Hosanagara
Shikaripura
Soraba
Tirthahalli
Tumakuru
Chikkanayakanahalli
Kunigal
Madhugiri
Sira
Tiptūr
Gubbi
Koratagere
Pavagada
Turuvekere
Udupi
Kapu
Byndoor
Karkala
Kundapura
Hebri
Brahmavara
Karwara
Sirsi
Joida
Dandeli
Bhatkal
Kumta
Ankola
Haliyal
Honnavara
Mundagodu
Siddapura
Yellapura
Vijayapura
Indi
Bagewadi
Sindgi
Muddebihala
Talikote
Hipparagi
Chadchana
Tikota
Babaleshwara
Kolhara
Nidagundi
Alamela
Yādgīr
Shahapura
Surapura
Gurmatkāl
Vadagera
Shorāpur
Hosapete
Hagari
Harapanahalli
Huvina Hadagali
Kudligi
Kotturu
